code_commune,commune,creations_total,creations_industrie,creations_construction,creations_commerce_transport,creations_info_com,creations_finance,creations_immo,creations_services_admin,creations_adm_sante_social,creations_autres_services,annee
62190,Busnes,7,0,0,2,1,0,0,0,3,1,2017
62191,Caffiers,4,0,1,1,0,0,0,1,1,0,2017
62192,Cagnicourt,0,0,0,0,0,0,0,0,0,0,2017
62193,Calais,402,19,25,172,9,12,13,61,39,52,2017
62194,Calonne-Ricouart,23,1,5,8,0,1,0,2,2,4,2017
62195,Calonne-sur-la-Lys,8,1,3,2,0,0,0,1,1,0,2017
62196,La Calotterie,4,0,0,1,0,0,2,1,0,0,2017
62197,Camblain-Châtelain,7,0,1,3,0,0,1,0,1,1,2017
62198,Cambligneul,1,0,0,0,0,0,0,1,0,0,2017
62199,Camblain-l'Abbé,4,0,0,0,0,0,0,1,2,1,2017
62200,Cambrin,8,1,1,2,0,0,0,3,1,0,2017
62201,Camiers,22,2,0,9,0,0,1,5,2,3,2017
62202,Campagne-lès-Boulonnais,4,2,0,1,1,0,0,0,0,0,2017
62203,Campagne-lès-Guines,2,0,0,0,0,0,1,0,0,1,2017
62204,Campagne-lès-Hesdin,12,0,1,7,0,1,0,2,1,0,2017
62205,Campagne-lès-Wardrecques,4,0,1,0,0,0,0,2,1,0,2017
62206,Campigneulles-les-Grandes,2,0,0,0,0,0,1,0,0,1,2017
62207,Campigneulles-les-Petites,5,0,1,1,0,0,0,2,0,1,2017
62208,Canettemont,0,0,0,0,0,0,0,0,0,0,2017
62209,Canlers,0,0,0,0,0,0,0,0,0,0,2017
62211,Capelle-Fermont,3,0,1,2,0,0,0,0,0,0,2017
62212,Capelle-lès-Hesdin,1,0,0,0,0,0,0,0,0,1,2017
62213,Carency,4,1,0,2,0,0,0,0,1,0,2017
62214,Carly,5,0,0,2,0,0,0,1,2,0,2017
62215,Carvin,101,7,9,35,5,6,3,15,12,9,2017
62216,La Cauchie,6,0,0,3,0,0,0,3,0,0,2017
62217,Cauchy-à-la-Tour,10,0,1,4,0,0,0,1,1,3,2017
62218,Caucourt,4,0,0,3,0,0,0,0,0,1,2017
62219,Caumont,2,2,0,0,0,0,0,0,0,0,2017
62220,Cavron-Saint-Martin,2,0,0,2,0,0,0,0,0,0,2017
62221,Chelers,0,0,0,0,0,0,0,0,0,0,2017
62222,Chériennes,2,0,0,2,0,0,0,0,0,0,2017
62223,Chérisy,3,0,0,1,0,0,0,0,1,1,2017
62224,Chocques,12,1,2,3,0,0,0,4,1,1,2017
62225,Clairmarais,2,0,0,1,1,0,0,0,0,0,2017
62227,Clenleu,2,0,0,2,0,0,0,0,0,0,2017
62228,Clerques,2,1,0,0,0,0,0,1,0,0,2017
62229,Cléty,3,0,0,2,0,0,0,1,0,0,2017
62230,Colembert,5,0,1,3,0,0,0,0,0,1,2017
62231,Colline-Beaumont,0,0,0,0,0,0,0,0,0,0,2017
62232,La Comté,5,0,0,2,0,0,0,0,0,3,2017
62233,Conchil-le-Temple,4,0,0,1,1,0,1,0,0,1,2017
62234,Conchy-sur-Canche,1,0,0,1,0,0,0,0,0,0,2017
62235,Condette,26,0,2,10,0,0,1,6,3,4,2017
62236,Contes,0,0,0,0,0,0,0,0,0,0,2017
62237,Conteville-lès-Boulogne,2,0,0,1,0,0,0,0,0,1,2017
62238,Conteville-en-Ternois,0,0,0,0,0,0,0,0,0,0,2017
62239,Coquelles,32,0,2,16,0,1,3,0,8,2,2017
62240,Corbehem,9,0,1,3,0,0,0,2,2,1,2017
62241,Cormont,3,1,0,0,0,0,1,0,1,0,2017
62242,Couin,0,0,0,0,0,0,0,0,0,0,2017
62243,Coullemont,0,0,0,0,0,0,0,0,0,0,2017
62244,Coulogne,31,1,2,14,1,1,2,3,3,4,2017
