code_commune,annee,emploi_total,emploi_moins_25,emploi_25_49,emploi_50_plus
33528,2022,35,5,25,5
33529,2022,2050,220,1170,655
33530,2022,60,5,40,15
33531,2022,25,0,15,5
33532,2022,35,0,25,10
33533,2022,450,50,305,95
33534,2022,70,0,45,20
33535,2022,295,35,185,75
33536,2022,10,0,10,0
33537,2022,50,5,30,15
33538,2022,55,10,25,20
33539,2022,350,35,240,75
33540,2022,350,45,160,150
33541,2022,110,10,50,50
33542,2022,70,10,35,25
33543,2022,85,10,45,30
33544,2022,165,15,90,60
33545,2022,100,15,60,25
33546,2022,20,0,10,5
33547,2022,105,10,65,30
33548,2022,105,15,55,35
33549,2022,25,5,15,5
33550,2022,3360,425,2250,685
33551,2022,40,5,20,15
33552,2022,95,20,55,20
33553,2022,80,5,60,15
33554,2022,165,15,95,55
33555,2022,355,35,220,95
