"code_commune","commune","annee","inscrits","abstentions","votants","blancs","nuls","exprimes","taux_abstention","population","part_jeunes","part_seniors","indice_jeunesse","emploi_total","emploi_moins_25","emploi_25_49","emploi_50_plus","creations_total","creations_industrie","creations_construction","creations_commerce_transport","creations_info_com","creations_finance","creations_immo","creations_services_admin","creations_adm_sante_social","creations_autres_services","nombre_infractions_total","taux_infractions_moyen"
"62083","Barlin",2017,5882,1637,4245,83,35,4127,"27.830669840190414",7661,"37.930568413835026","24.84757628478234","1.5265299109702397","870","155","530","180","31","0","5","12","0","1","0","1","5","7","303","2.7258550466666667"
"62084","Barly",2017,183,26,157,2,2,153,"14.207650273224044",221,"30.110683999032762","28.590961269357194","1.0531539571320518","15","0","10","5","0","0","0","0","0","0","0","0","0","0","3","0.9015576933333332"
"62085","Basseux",2017,128,12,116,3,1,112,"9.375",137,"24.817518248175183","34.306569343065696","0.723404255319149","5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.30541315333333335"
"62086","Bavincourt",2017,275,43,232,2,1,229,"15.636363636363637",378,"42.29618750718976","18.447809167800784","2.2927485384559625","35","5","20","5","3","1","1","0","0","0","0","0","1","0","9","1.4594156200000001"
"62087","Bayenghem-Lès-Eperlecques",2017,750,111,639,11,5,623,"14.799999999999999",1009,"37.82435129740506","17.564870259481026","2.153409090909085","75","10","40","25","2","0","1","1","0","0","0","0","0","0","16","1.1828154600000003"
"62088","Bayenghem-Lès-Seninghem",2017,245,35,210,7,3,200,"14.285714285714285",324,"35.18518518518518","25.617283950617285","1.3734939759036144","15","0","10","5","1","0","1","0","0","0","0","0","0","0","3","0.8136962600000001"
"62089","Bazinghen",2017,308,28,280,6,0,274,"9.090909090909092",393,"33.356625791315366","18.645211142176322","1.789018399253262","20","5","15","5","5","0","0","1","0","2","0","0","1","1","7","1.2177098533333335"
"62090","Béalencourt",2017,106,10,96,1,0,95,"9.433962264150944",130,"29.770992366412152","31.297709923664108","0.9512195121951205","10","5","5","0","2","2","0","0","0","0","0","0","0","0","2","1.0107496533333336"
"62091","Beaudricourt",2017,79,6,73,1,0,72,"7.59493670886076",90,"34.782608695652115","27.173913043478226","1.2799999999999994","5","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0.09333892"
"62092","Beaufort-Blavincourt",2017,311,43,268,3,2,263,"13.826366559485532",397,"29.24381579798738","30.77283231400405","0.9503127791288536","15","5","10","5","1","0","0","1","0","0","0","0","0","0","5","0.7094367800000001"
"62093","Beaulencourt",2017,168,37,131,3,0,128,"22.023809523809522",235,"33.04721030042916","20.600858369098702","1.6041666666666663","25","0","10","10","0","0","0","0","0","0","0","0","0","0","3","1.27717282"
"62094","Beaumerie-Saint-Martin",2017,301,31,270,6,2,262,"10.299003322259136",397,"36.51579921188141","20.71210008977537","1.7630177072149056","25","5","10","10","4","2","1","1","0","0","0","0","0","0","7","1.2177098533333335"
"62095","Beaumetz-Lès-Aire",2017,182,32,150,5,3,142,"17.582417582417584",239,"37.65690376569037","24.686192468619247","1.5254237288135593","10","5","5","0","3","0","0","3","0","0","0","0","0","0","3","0.9015576933333332"
"62096","Beaumetz-Lès-Cambrai",2017,424,85,339,6,0,333,"20.047169811320757",581,"37.734008068083455","21.556325437510914","1.7504842454466378","55","10","35","10","3","0","1","0","0","0","1","1","0","0","13","1.35464902"
"62097","Beaumetz-Lès-Loges",2017,746,103,643,12,2,629,"13.80697050938338",999,"33.632734530938144","25.848303393213595","1.3011583011583006","70","15","35","20","11","0","2","3","1","0","0","0","5","0","21","1.5003661799999999"
"62099","Beaurains",2017,4365,929,3436,52,39,3345,"21.282932416953035",5662,"37.21080874961126","23.610819658139622","1.5760066481547652","495","90","310","95","37","1","4","18","0","1","0","5","4","4","179","2.3664745000000003"
